OrganismOrder177	ShortName	OrganismShortName	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate
1	hydra	hydra	Swiftwater hydra	Hydra vulgaris	Nonchordates	No
2	flameJellyfish	flameJellyfish	Flame jellyfish	Rhopilema esculentum	Nonchordates	No
3	jellyfish	boxJellyfish	Sea wasp (Box jellyfish)	Alatina alata	Nonchordates	No
4	scallop	scallop	Yesso scallop	Mizuhopecten yessoensis	Nonchordates	No
5	octopus	octopus	California two-spot octopus	Octopus bimaculoides	Nonchordates	No
6	hawaiianSquid	hawaiianSquid	Hawaiian bobtail squid	Euprymna scolopes	Nonchordates	No
7	reefSquid	reefSquid	Caribbean reef squid	Sepioteuthis sepioidea	Nonchordates	No
8	tardigrade	tardigrade	Tardigrade	Paramacrobiotus metropolitanus	Nonchordates	No
9	waspSpider	waspSpider	Wasp spider	Argiope bruennichi	Nonchordates	No
10	spider	spider	Paradise spider	Habronattus gilaensis	Nonchordates	No
11	lobster	norwayLobster	Norway lobster	Nephrops norvegicus	Nonchordates	No
12	americanLobster	americanLobster	American lobster	Homarus americanus	Nonchordates	No
13	drosophila	drosophila	Fruit fly	Drosophila melanogaster	Nonchordates	No
14	plastererBee	plastererBee	Plasterer Bee	Colletes gigas	Nonchordates	No
15	acornWorm	acornWorm	Acorn worm	Saccoglossus kowalevskii	Nonchordates	No
16	seaurchin	seaurchin	Green sea urchin	Lytechinus variegatus	Nonchordates	No
17	echinoderm	echinoderm	Japanese echinoderm	Anneissia japonica	Nonchordates	No
18	amphioxus	amphioxus	Florida lancelet (Amphioxus)	Branchiostoma floridae	Protochordates	No
19	tunicate	vaseTunicate	Vase tunicate	Ciona intestinalis	Protochordates	No
20	seaSquirt	seaSquirt	Sea squirt	Styela clava	Protochordates	No
21	hagfish	atlanticHagfish	Hagfish	Myxine glutinosa	Agnathans (hagfish and lampreys)	Yes
22	broadgilledHagfish	broadgilledHagfish	Broadgilled hagfish	Eptatretus cirrhatus	Agnathans (hagfish and lampreys)	Yes
23	pouchedLamprey	pouchedLamprey	Pouched lamprey	Geotria australis	Agnathans (hagfish and lampreys)	Yes
24	shortHeadLamprey	shortheadLamprey	Short-headed lamprey	Mordacia mordax	Agnathans (hagfish and lampreys)	Yes
25	lamprey	seaLamprey	Sea lamprey	Petromyzon marinus	Agnathans (hagfish and lampreys)	Yes
26	fareasternBrookLamprey	fareasternBrookLamprey	Far Eastern brook lamprey	Lethenteron reissneri	Agnathans (hagfish and lampreys)	Yes
27	arcticLamprey	arcticLamprey	Arctic lamprey	Lethenteron camtschaticum	Agnathans (hagfish and lampreys)	Yes
28	stingray	bluespottedStingray	Blue-spotted stingray	Neotrygon kuhlii	Cartilaginous fishes	Yes
29	redStingray	redStingray	Red stingray	Hemitrygon akajei	Cartilaginous fishes	Yes
30	catshark	catshark	Cloudy catshark	Scyliorhinus torazame	Cartilaginous fishes	Yes
31	reefShark	reefShark	Grey reef shark	Carcharhinus amblyrhynchos	Cartilaginous fishes	Yes
32	bambooShark	bambooShark	Brownbanded bamboo shark	Chiloscyllium punctatum	Cartilaginous fishes	Yes
33	nurseShark	nurseShark	Nurse shark	Ginglymostoma cirratum	Cartilaginous fishes	Yes
34	zebraShark	zebraShark	Zebra shark	Stegostoma tigrinum	Cartilaginous fishes	Yes
35	shark	whaleShark	Whale shark	Rhincodon typus	Cartilaginous fishes	Yes
36	bowfin	bowfin	Bowfin	Amia calva	Non-teleost ray-finned fishes	Yes
37	gar	spottedGar	Spotted gar	Lepisosteus oculatus	Non-teleost ray-finned fishes	Yes
38	floridaGar	floridaGar	Florida gar	Lepisosteus platyrhincus	Non-teleost ray-finned fishes	Yes
39	americanEel	americanEel	American eel	Anguilla rostrata	Teleost ray-finned fishes	Yes
40	eel	eel	Ocellated moray eel	Gymnothorax saxicola	Teleost ray-finned fishes	Yes
41	zebrafish	zebrafish	Zebrafish	Danio rerio	Teleost ray-finned fishes	Yes
42	grassCarp	grassCarp	Grass carp	Ctenopharyngodon idella	Teleost ray-finned fishes	Yes
43	catfish	channelCatfish	Channel catfish	Ictalurus punctatus	Teleost ray-finned fishes	Yes
44	yangtzeCatfish	yangtzeCatfish	Yangtze catfish	Silurus meridionalis	Teleost ray-finned fishes	Yes
45	piranha	piranha	Red-bellied piranha	Pygocentrus nattereri	Teleost ray-finned fishes	Yes
46	northernPike	northernPike	Northern pike	Esox lucius	Teleost ray-finned fishes	Yes
47	lanternFish	lanternFish	Electric lantern fish	Electrona risso	Teleost ray-finned fishes	Yes
48	cod	cod	Atlantic cod	Gadus morhua	Teleost ray-finned fishes	Yes
49	tuna	tuna	Yellowfin tuna	Thunnus albacares	Teleost ray-finned fishes	Yes
50	snakeheadFish	snakeheadFish	Snakehead fish	Channa argus	Teleost ray-finned fishes	Yes
51	cichlid	cichlid	Flier cichlid	Archocentrus centrarchus	Teleost ray-finned fishes	Yes
52	tilapia	tilapia	Mozambique tilapia	Oreochromis mossambicus	Teleost ray-finned fishes	Yes
53	flavescentPeacockFish	flavescentPeacockFish	Flavescent peacock cichlid	Aulonocara stuartgranti	Teleost ray-finned fishes	Yes
